year,station_id,longitude,latitude,city_id,city_name_chn,city_name_eng
1994,S000515,106.3615,39.2248,,,
1994,S000516,106.4314,39.1408,274.0,石嘴山市,Shizuishan
1994,S000517,113.286,33.6993,147.0,平顶山市,Pingdingshan
1994,S000518,113.552,33.4158,,,
1994,S000519,101.729,25.1724,,,
1994,S000520,104.1444,30.5758,222.0,成都市,Chengdu
1994,S000521,102.3076,25.0808,,,
1994,S000522,102.3171,25.146,,,
1994,S000523,108.9641,23.76,,,
1994,S000524,109.2372,23.693,217.0,来宾市,Laibin
1994,S000525,121.7818,41.3289,,,
1994,S000526,122.6463,40.776,,,
1994,S000527,113.4389,35.179,151.0,焦作市,Jiaozuo
1994,S000528,113.9108,35.3055,150.0,新乡市,Xinxiang
1994,S000529,112.4916,43.0507,,,
1994,S000530,112.9038,43.2566,,,
1994,S000531,112.3291,25.4819,,,
1994,S000532,113.0543,25.7032,182.0,郴州市,Chenzhou
1994,S000533,122.4181,53.038,,,
1994,S000534,124.7925,52.4143,,,
1994,S000535,115.5232,39.359,,,
1994,S000536,115.8655,39.2854,,,
1994,S000537,124.3861,51.6219,,,
1994,S000538,124.7989,52.2843,,,
1994,S000539,124.2149,51.1435,,,
1994,S000540,124.3377,50.8235,,,
1994,S000541,124.1564,50.4525,,,
1994,S000542,125.2998,49.2735,,,
1994,S000543,124.5703,47.8806,,,
1994,S000544,125.3191,49.0269,,,
1994,S000545,122.0754,52.7873,,,
1994,S000546,122.4099,53.0338,,,
1994,S000547,116.906,34.7419,,,
1994,S000548,117.1253,34.3534,69.0,徐州市,Xuzhou
1994,S000549,106.7487,26.3817,,,
1994,S000550,107.3377,26.489,,,
1994,S000551,107.3426,26.4937,,,
1994,S000552,109.969,27.5092,184.0,怀化市,Huaihua
1994,S000553,112.0143,27.6513,185.0,娄底市,Loudi
1994,S000554,112.5962,27.7126,,,
1994,S000555,112.4446,27.8485,,,
